,Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
19,LOGZ,rf0017,-0.411,-0.49011000000000005,-0.28573000000000004,-0.55604,-0.16706,Y,Y,N,N,0.0,0.0,N,N,1,135
20,LOGQ,rf0023,7.26507,7.19305,7.4307,7.12103,7.61795,Y,Y,N,N,0.0,0.0,N,N,1,40
21,LOGZ,rf0023,-0.46374,-0.5362600000000001,-0.29891999999999996,-0.60878,-0.12090999999999999,Y,Y,N,N,0.0,0.0,N,N,1,127
22,LOGQ,rf0024,6.977,6.9914,7.157039999999999,-inf,7.27947,N,Y,Y,N,0.12445,0.0,N,N,1,0
23,LOGZ,rf0024,-0.1275,-0.25936,-0.022019999999999998,-0.34507,0.07028,Y,Y,N,N,0.0,0.0,N,N,1,178
24,LOGQ,rf0028,7.12103,7.07062,7.33708,7.00581,7.5819399999999995,Y,Y,N,N,0.00634,0.0,N,N,1,20
25,LOGZ,rf0028,-0.42418,-0.49011000000000005,-0.2264,-0.56922,-0.00224,Y,Y,N,N,0.0,0.0,N,N,1,133
26,LOGQ,rf0029,7.28667,7.21465,7.4091,7.142639999999999,7.52433,Y,Y,N,N,0.0,0.0,N,N,1,43
27,LOGZ,rf0029,-0.39781,-0.45055,-0.26595,-0.51648,-0.16047,Y,Y,N,N,0.0,0.0,N,N,1,137
28,LOGQ,rf0030,7.034610000000001,7.0202100000000005,7.27227,6.9842,7.4091,Y,Y,N,N,0.04301,0.0,N,N,1,8
29,LOGZ,rf0030,-0.23299,-0.30551,-0.048389999999999996,-0.38463,0.0505,Y,Y,N,N,0.0,0.0,N,N,1,162
30,LOGQ,rf0031,7.26507,7.10663,7.38749,6.9986,7.517119999999999,Y,Y,N,N,0.0142,0.0,N,N,2,40
31,LOGZ,rf0031,0.11642999999999999,-0.0418,0.14939000000000002,-0.21320999999999998,0.20214000000000001,Y,Y,N,N,0.0,0.0,N,N,1,215
32,LOGQ,rf0033,7.250660000000001,7.17144,7.4091,7.09943,7.61795,Y,Y,N,N,2e-05,0.0,N,N,1,38
33,LOGZ,rf0033,-0.47033,-0.5362600000000001,-0.30551,-0.61537,-0.12090999999999999,Y,Y,N,N,0.0,0.0,N,N,1,126
34,LOGQ,rf0034,7.3730899999999995,7.32268,7.5891399999999996,7.250660000000001,7.790789999999999,Y,Y,N,N,0.0,0.0,N,N,1,55
35,LOGZ,rf0034,-0.51648,-0.57582,-0.30551,-0.65493,-0.10772999999999999,Y,Y,N,N,0.0,0.0,N,N,1,119
36,LOGQ,rf0040,7.27947,7.10663,7.4235,6.9986,7.5675300000000005,Y,Y,N,N,0.0159,0.0,N,N,2,42
37,LOGZ,rf0040,0.12962,-0.048389999999999996,0.16917000000000001,-0.24618,0.22191999999999998,Y,Y,N,N,0.0,2e-05,N,N,1,217
38,LOGQ,rf0042,7.4091,7.351489999999999,7.70437,7.26507,7.95642,Y,Y,N,N,0.0,0.0,N,N,1,60
39,LOGZ,rf0042,-0.51648,-0.58241,-0.29233000000000003,-0.65493,-0.08135,Y,Y,N,N,0.0,0.0,N,N,1,119
40,LOGQ,rf0043,7.3947,7.1642399999999995,7.675560000000001,7.01301,7.877210000000001,Y,Y,N,N,0.009040000000000001,0.0,N,N,1,58
41,LOGZ,rf0043,0.25488,0.0505,0.26147,-0.1341,0.29444000000000004,Y,Y,N,N,0.0,0.03221,N,N,1,236
42,LOGQ,rf0045,7.32988,7.27227,7.466710000000001,7.20745,7.59634,Y,Y,N,N,0.0,0.0,N,N,1,49
43,LOGZ,rf0045,-0.52307,-0.5956,-0.39121999999999996,-0.66152,-0.25936,Y,Y,N,N,0.0,0.0,N,N,1,118
44,LOGQ,rf0048,7.26507,7.18585,7.38029,7.12103,7.50272,Y,Y,N,N,0.0,0.0,N,N,1,40
45,LOGZ,rf0048,-0.44396,-0.51648,-0.32529,-0.589,-0.20002999999999999,Y,Y,N,N,0.0,0.0,N,N,1,130
46,LOGQ,rf0049,7.27947,7.21465,7.445110000000001,7.142639999999999,7.61795,Y,Y,N,N,0.0,0.0,N,N,1,42
47,LOGZ,rf0049,-0.49011000000000005,-0.54945,-0.3187,-0.62197,-0.14728,Y,Y,N,N,0.0,0.0,N,N,1,123
48,LOGQ,rf0051,7.4307,7.365889999999999,7.63955,7.28667,7.884410000000001,Y,Y,N,N,0.0,0.0,N,N,1,63
49,LOGZ,rf0051,-0.589,-0.66152,-0.4044,-0.74064,-0.17365,Y,Y,N,N,0.0,0.0,N,N,1,108
50,LOGQ,rf0053,7.351489999999999,7.29387,7.466710000000001,7.236260000000001,7.574739999999999,Y,Y,N,N,0.0,0.0,N,N,1,52
51,LOGZ,rf0053,-0.51648,-0.57582,-0.38463,-0.64175,-0.27255,Y,Y,N,N,0.0,0.0,N,N,1,119
52,LOGQ,rf0058,7.10663,7.05622,7.365889999999999,6.9914,7.63955,Y,Y,N,N,0.016280000000000003,0.0,N,N,1,18
53,LOGZ,rf0058,-0.33848,-0.4044,-0.1341,-0.48352,0.07028,Y,Y,N,N,0.0,0.0,N,N,1,146
54,LOGQ,rf0060,7.135439999999999,7.08502,7.257860000000001,7.034610000000001,7.365889999999999,Y,Y,N,N,0.00042,0.0,N,N,1,22
55,LOGZ,rf0060,-0.41758999999999996,-0.4967,-0.3121,-0.56263,-0.19343,Y,Y,N,N,0.0,0.0,N,N,1,134
56,LOGQ,rf0062,7.05622,7.01301,7.18585,6.9842,7.29387,Y,Y,N,N,0.046419999999999996,0.0,N,N,1,11
57,LOGZ,rf0062,-0.15388,-0.23958000000000002,-0.07476000000000001,-0.30551,-0.00224,Y,Y,N,N,0.0,0.0,N,N,1,174
58,LOGQ,rf0064,7.3947,7.33708,7.517119999999999,7.27947,7.62515,Y,Y,N,N,0.0,0.0,N,N,1,58
59,LOGZ,rf0064,-0.55604,-0.64175,-0.44396,-0.71427,-0.3187,Y,Y,N,N,0.0,0.0,N,N,1,113
60,LOGQ,rf0065,7.18585,7.135439999999999,7.301069999999999,7.08502,7.4019,Y,Y,N,N,0.0,0.0,N,N,1,29
61,LOGZ,rf0065,-0.43078,-0.50989,-0.33188,-0.58241,-0.2198,Y,Y,N,N,0.0,0.0,N,N,1,132
62,LOGQ,rf0068,7.22186,7.149839999999999,7.4091,7.07782,7.71877,Y,Y,N,N,0.00016,0.0,N,N,1,34
63,LOGZ,rf0068,-0.56263,-0.63515,-0.38463,-0.70767,-0.06817000000000001,Y,Y,N,N,0.0,0.0,N,N,1,112
64,LOGQ,rf0071,7.28667,7.12823,7.517119999999999,7.00581,7.71157,Y,Y,N,N,0.00975,0.0,N,N,1,43
65,LOGZ,rf0071,0.1428,0.01095,0.21531999999999998,-0.14069,0.26807,Y,Y,N,N,0.0,0.00262,N,N,2,219
66,LOGQ,rf0072,7.81239,7.71877,7.96363,7.62515,8.10046,Y,Y,N,N,0.0,0.0,N,N,1,116
67,LOGZ,rf0072,-0.6944899999999999,-0.74064,-0.5033,-0.81316,-0.36485,Y,Y,N,N,0.0,0.0,N,N,1,92
68,LOGQ,rf0073,7.50992,7.4163,7.65395,7.33708,7.76918,Y,Y,N,N,0.0,0.0,N,N,1,74
69,LOGZ,rf0073,-0.411,-0.4967,-0.29233000000000003,-0.56922,-0.18684,Y,Y,N,N,0.0,0.0,N,N,1,135
70,LOGQ,rf0074,7.05622,7.034610000000001,7.38029,6.9842,7.60354,Y,Y,N,N,0.032510000000000004,0.0,N,N,1,11
71,LOGZ,rf0074,-0.11432,-0.20002999999999999,0.07687000000000001,-0.28573000000000004,0.18895,Y,Y,N,N,0.0,2.9999999999999997e-05,N,N,1,180
72,LOGQ,rf0076,7.21465,7.149839999999999,7.38749,7.08502,7.56033,Y,Y,N,N,2e-05,0.0,N,N,2,33
73,LOGZ,rf0076,-0.43078,-0.5033,-0.27914,-0.57582,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,132
74,LOGQ,rf0077,7.20745,7.142639999999999,7.365889999999999,7.07782,7.50992,Y,Y,N,N,2e-05,0.0,N,N,1,32
75,LOGZ,rf0077,-0.45055,-0.50989,-0.29891999999999996,-0.57582,-0.15388,Y,Y,N,N,0.0,0.0,N,N,1,129
76,LOGQ,rf0079,7.08502,7.034610000000001,7.27947,6.9914,7.517119999999999,Y,Y,N,N,0.022269999999999998,0.0,N,N,1,15
77,LOGZ,rf0079,-0.39781,-0.46374,-0.2264,-0.5362600000000001,-0.015430000000000001,Y,Y,N,N,0.0,0.0,N,N,1,137
78,LOGQ,rf0083,7.17865,7.11383,7.38749,7.034610000000001,7.62515,Y,Y,N,N,0.00201,0.0,N,N,1,28
79,LOGZ,rf0083,-0.44396,-0.51648,-0.25277,-0.60219,-0.0352,Y,Y,N,N,0.0,0.0,N,N,1,130
80,LOGQ,rf0084,7.05622,7.034610000000001,7.31548,6.9842,7.53153,Y,Y,N,N,0.028380000000000002,0.0,N,N,1,11
81,LOGZ,rf0084,-0.35166,-0.41758999999999996,-0.1275,-0.49011000000000005,0.0505,Y,Y,N,N,0.0,0.0,N,N,1,144
82,LOGQ,rf0092,7.301069999999999,7.142639999999999,7.445110000000001,7.0202100000000005,7.60354,Y,Y,N,N,0.00743,0.0,N,N,1,45
83,LOGZ,rf0092,0.19554000000000002,0.07028,0.22851,-0.07476000000000001,0.26807,Y,Y,N,N,0.0,0.0019,N,N,1,227
84,LOGQ,rf0098,6.977,7.04902,7.5819399999999995,6.9842,7.80519,N,N,Y,N,0.03578,0.0,N,N,1,0
85,LOGZ,rf0098,0.26147,-0.11432,0.25488,-0.3121,0.29444000000000004,N,Y,N,N,0.0,0.03402,N,N,1,237
86,LOGQ,rf0099,7.142639999999999,7.092230000000001,7.29387,7.034610000000001,7.4379100000000005,Y,Y,N,N,0.00115,0.0,N,N,1,23
87,LOGZ,rf0099,-0.42418,-0.49011000000000005,-0.28573000000000004,-0.56263,-0.14069,Y,Y,N,N,0.0,0.0,N,N,1,133
88,LOGQ,rf0102,7.142639999999999,7.08502,7.4307,7.0202100000000005,7.7763800000000005,Y,Y,N,N,0.00447,0.0,N,N,1,23
89,LOGZ,rf0102,-0.47693,-0.54285,-0.21320999999999998,-0.62197,0.07028,Y,Y,N,N,0.0,0.0,N,N,2,125
90,LOGQ,rf0104,7.301069999999999,7.2290600000000005,7.466710000000001,7.149839999999999,7.682760000000001,Y,Y,N,N,0.0,0.0,N,N,1,45
91,LOGZ,rf0104,-0.56263,-0.63515,-0.411,-0.71427,-0.20661999999999997,Y,Y,N,N,0.0,0.0,N,N,1,112
92,LOGQ,rf0107,7.31548,7.257860000000001,7.4379100000000005,7.19305,7.56033,Y,Y,N,N,0.0,0.0,N,N,1,47
93,LOGZ,rf0107,-0.49011000000000005,-0.55604,-0.35825,-0.62197,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,123
94,LOGQ,rf0108,7.33708,7.27947,7.466710000000001,7.22186,7.59634,Y,Y,N,N,0.0,0.0,N,N,1,50
95,LOGZ,rf0108,-0.52967,-0.61537,-0.411,-0.6813,-0.27255,Y,Y,N,N,0.0,0.0,N,N,1,117
96,LOGQ,rf0109,7.07782,7.034610000000001,7.301069999999999,6.9842,7.459510000000001,Y,Y,N,N,0.026410000000000003,0.0,N,N,1,14
97,LOGZ,rf0109,-0.29233000000000003,-0.36485,-0.11432,-0.44396,0.01754,Y,Y,N,N,0.0,0.0,N,N,1,153
98,LOGQ,rf0111,7.2290600000000005,7.157039999999999,7.55313,7.06342,7.75478,Y,Y,N,N,0.0003,0.0,N,N,1,35
99,LOGZ,rf0111,-0.33848,-0.39781,-0.06817000000000001,-0.48352,0.07028,Y,Y,N,N,0.0,0.0,N,N,1,146
100,LOGQ,rf0117,7.135439999999999,7.06342,7.32988,6.9986,7.48832,Y,Y,N,N,0.01435,0.0,N,N,1,22
101,LOGZ,rf0117,-0.3121,-0.39121999999999996,-0.17365,-0.46374,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,150
102,LOGQ,rf0118,7.142639999999999,7.092230000000001,7.32988,7.034610000000001,7.5891399999999996,Y,Y,N,N,0.00145,0.0,N,N,1,23
103,LOGZ,rf0118,-0.52307,-0.589,-0.32529,-0.66152,-0.048389999999999996,Y,Y,N,N,0.0,0.0,N,N,1,118
104,LOGQ,rf0119,7.11383,7.05622,7.28667,6.9986,7.50992,Y,Y,N,N,0.01171,0.0,N,N,1,19
105,LOGZ,rf0119,-0.46374,-0.5362600000000001,-0.30551,-0.61537,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,127
106,LOGQ,rf0122,7.301069999999999,7.22186,7.48832,7.12823,7.71877,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,45
107,LOGZ,rf0122,-0.52307,-0.60878,-0.33848,-0.6944899999999999,-0.10772999999999999,Y,Y,N,N,0.0,0.0,N,N,1,118
108,LOGQ,rf0125,7.1642399999999995,7.034610000000001,7.33708,6.9842,7.50272,Y,Y,N,N,0.03713,0.0,N,N,2,26
109,LOGZ,rf0125,0.06369,-0.16706,0.11642999999999999,-0.29891999999999996,0.18895,Y,Y,N,N,0.0,4e-05,N,N,1,207
110,LOGQ,rf0126,7.4379100000000005,7.243460000000001,7.689960000000001,7.05622,7.87,Y,Y,N,N,0.00358,0.0,N,N,1,64
111,LOGZ,rf0126,0.26807,0.13621,0.28125,-0.022019999999999998,inf,Y,Y,N,N,0.0,0.07524,N,N,1,238
112,LOGQ,rf0128,7.08502,7.034610000000001,7.28667,6.9842,7.466710000000001,Y,Y,N,N,0.02642,0.0,N,N,1,15
113,LOGZ,rf0128,-0.29233000000000003,-0.36485,-0.12090999999999999,-0.44396,0.030719999999999997,Y,Y,N,N,0.0,0.0,N,N,1,153
114,LOGQ,rf0129,7.0202100000000005,7.00581,7.19305,-inf,7.32988,Y,Y,N,N,0.06241,0.0,N,N,1,6
115,LOGZ,rf0129,-0.3121,-0.38463,-0.16706,-0.45715,-0.048389999999999996,Y,Y,N,N,0.0,0.0,N,N,1,150
116,LOGQ,rf0132,7.092230000000001,7.034610000000001,7.18585,6.9914,7.27227,Y,Y,N,N,0.01744,0.0,N,N,1,16
117,LOGZ,rf0132,-0.18025,-0.25936,-0.12090999999999999,-0.3187,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,170
118,LOGQ,rf0134,6.9842,7.0202100000000005,7.358689999999999,-inf,7.517119999999999,N,Y,Y,N,0.05064,0.0,N,N,1,1
119,LOGZ,rf0134,-0.29891999999999996,-0.35825,-0.00224,-0.45055,0.10324000000000001,Y,Y,N,N,0.0,0.0,N,N,3,152
120,LOGQ,rf0141,7.257860000000001,7.17144,7.452310000000001,7.092230000000001,7.733169999999999,Y,Y,N,N,0.00011999999999999999,0.0,N,N,1,39
121,LOGZ,rf0141,-0.54945,-0.62856,-0.34507,-0.71427,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,114
122,LOGQ,rf0143,7.092230000000001,7.041810000000001,7.250660000000001,6.9986,7.38749,Y,Y,N,N,0.01395,0.0,N,N,1,16
123,LOGZ,rf0143,-0.37144,-0.43078,-0.2264,-0.4967,-0.10113,Y,Y,N,N,0.0,0.0,N,N,1,141
124,LOGQ,rf0147,7.2290600000000005,7.092230000000001,7.49552,6.9986,7.65395,Y,Y,N,N,0.015040000000000001,0.0,N,N,1,35
125,LOGZ,rf0147,0.1428,-0.08795,0.18236,-0.21320999999999998,0.24829,Y,Y,N,N,0.0,0.00193,N,N,1,219
126,LOGQ,rf0150,7.20745,7.07062,7.4379100000000005,6.9914,7.682760000000001,Y,Y,N,N,0.02187,0.0,N,N,2,32
127,LOGZ,rf0150,0.12962,-0.0352,0.20214000000000001,-0.23299,0.26807,Y,Y,N,N,0.0,0.00494,N,N,1,217
128,LOGQ,rf0154,7.28667,7.2290600000000005,7.56033,7.149839999999999,7.76918,Y,Y,N,N,0.0,0.0,N,N,1,43
129,LOGZ,rf0154,-0.54285,-0.5956,-0.33188,-0.66152,-0.1275,Y,Y,N,N,0.0,0.0,N,N,1,115
130,LOGQ,rf0156,7.4379100000000005,7.12823,7.60354,6.9914,7.76198,Y,Y,N,N,0.01693,0.0,N,N,2,64
131,LOGZ,rf0156,0.13621,-0.19343,0.16917000000000001,-0.35166,0.22851,Y,Y,N,N,0.0,0.0,N,N,2,218
132,LOGQ,rf0157,7.56033,7.48112,7.80519,7.3947,8.021239999999999,Y,Y,N,N,0.0,0.0,N,N,1,81
133,LOGZ,rf0157,-0.62197,-0.67471,-0.411,-0.7538199999999999,-0.20002999999999999,Y,Y,N,N,0.0,0.0,N,N,1,103
134,LOGQ,rf0160,6.977,7.0202100000000005,7.4019,-inf,7.5891399999999996,N,Y,Y,N,0.05117,0.0,N,N,1,0
135,LOGZ,rf0160,-0.25936,-0.29891999999999996,0.12302,-0.411,0.22191999999999998,Y,Y,N,N,0.0,0.00061,N,N,3,158
136,LOGQ,rf0164,7.18585,7.04902,7.34428,6.9842,7.50992,Y,Y,N,N,0.0298,0.0,N,N,2,29
137,LOGZ,rf0164,0.12962,-0.08135,0.16917000000000001,-0.29891999999999996,0.22851,Y,Y,N,N,0.0,0.00015,N,N,1,217
138,LOGQ,rf0167,7.250660000000001,7.092230000000001,7.445110000000001,6.9914,7.63955,Y,Y,N,N,0.01854,0.0,N,N,2,38
139,LOGZ,rf0167,0.20873000000000003,0.01095,0.2351,-0.29891999999999996,0.28125,Y,Y,N,N,0.0,0.00979,N,N,3,229
140,LOGQ,rf0169,7.243460000000001,7.1642399999999995,7.358689999999999,7.10663,7.48832,Y,Y,N,N,0.0,0.0,N,N,1,37
141,LOGZ,rf0169,-0.44396,-0.52307,-0.32529,-0.589,-0.19343,Y,Y,N,N,0.0,0.0,N,N,1,130
142,LOGQ,rf0171,7.9492199999999995,7.4379100000000005,8.122060000000001,7.17144,8.35972,Y,Y,N,N,0.00093,9e-05,N,N,2,135
143,LOGZ,rf0171,0.30103,0.22851,inf,0.09006,inf,Y,Y,N,Y,0.0,0.36245,N,N,2,243
144,LOGQ,rf0173,7.157039999999999,7.07782,7.59634,6.9914,7.8412,Y,Y,N,N,0.02187,0.0,N,N,2,25
145,LOGZ,rf0173,0.28784,0.024130000000000002,0.27466,-0.25936,inf,N,Y,N,Y,0.0,0.07402,N,N,1,241
146,LOGQ,rf0175,6.9986,7.00581,7.20745,-inf,7.4163,N,Y,N,N,0.0783,0.0,N,N,1,3
147,LOGZ,rf0175,-0.37803000000000003,-0.44396,-0.20002999999999999,-0.51648,-0.00224,Y,Y,N,N,0.0,0.0,N,N,1,140
148,LOGQ,rf0176,6.9842,7.041810000000001,7.50272,6.9842,7.661160000000001,N,Y,Y,N,0.035930000000000004,0.0,N,N,3,1
149,LOGZ,rf0176,0.06369,-0.37803000000000003,0.057089999999999995,-0.47693,0.13621,N,Y,N,N,0.0,0.0,N,N,2,207
150,LOGQ,rf0177,7.07062,7.027410000000001,7.21465,6.9842,7.365889999999999,Y,Y,N,N,0.03193,0.0,N,N,1,13
151,LOGZ,rf0177,-0.30551,-0.37803000000000003,-0.18684,-0.44396,-0.06817000000000001,Y,Y,N,N,0.0,0.0,N,N,1,151
152,LOGQ,rf0179,7.18585,7.135439999999999,7.31548,7.07782,7.4235,Y,Y,N,N,1e-05,0.0,N,N,1,29
153,LOGZ,rf0179,-0.45715,-0.52307,-0.34507,-0.589,-0.2264,Y,Y,N,N,0.0,0.0,N,N,1,128
154,LOGQ,rf0180,7.041810000000001,7.0202100000000005,7.27227,6.9842,7.4235,Y,Y,N,N,0.03701,0.0,N,N,1,9
155,LOGZ,rf0180,-0.35825,-0.43078,-0.18025,-0.4967,-0.0352,Y,Y,N,N,0.0,0.0,N,N,1,143
156,LOGQ,rf0181,7.4163,7.34428,7.7979899999999995,7.236260000000001,8.021239999999999,Y,Y,N,N,0.0,0.0,N,N,1,61
157,LOGZ,rf0181,-0.4044,-0.47033,-0.10772999999999999,-0.56922,0.030719999999999997,Y,Y,N,N,0.0,0.0,N,N,1,136
158,LOGQ,rf0191,6.977,7.00581,7.2290600000000005,-inf,7.4163,N,Y,Y,N,0.07887000000000001,0.0,N,N,1,0
159,LOGZ,rf0191,0.08347,-0.14728,0.1428,-0.29891999999999996,0.22851,Y,Y,N,N,0.0,0.00133,N,N,1,210
160,LOGQ,rf0192,7.1642399999999995,7.10663,7.31548,7.041810000000001,7.459510000000001,Y,Y,N,N,0.00116,0.0,N,N,1,26
161,LOGZ,rf0192,-0.39781,-0.46374,-0.26595,-0.5362600000000001,-0.1341,Y,Y,N,N,0.0,0.0,N,N,1,137
162,LOGQ,rf0193,6.977,7.01301,7.32268,-inf,7.5819399999999995,N,Y,Y,N,0.05557,0.0,N,N,1,0
163,LOGZ,rf0193,0.07028,-0.10772999999999999,0.16258,-0.25277,0.26147,Y,Y,N,N,0.0,0.00371,N,N,1,208
164,LOGQ,rf0195,6.977,7.0202100000000005,7.38029,-inf,7.61074,N,Y,Y,N,0.05755,0.0,N,N,1,0
165,LOGZ,rf0195,0.0505,-0.29233000000000003,0.09665,-0.39781,0.21531999999999998,Y,Y,N,N,0.0,7e-05,N,N,3,205
166,LOGQ,rf0197,7.11383,7.07062,7.2290600000000005,7.0202100000000005,7.33708,Y,Y,N,N,0.0024100000000000002,0.0,N,N,1,19
167,LOGZ,rf0197,-0.39781,-0.49011000000000005,-0.3187,-0.55604,-0.21320999999999998,Y,Y,N,N,0.0,0.0,N,N,1,137
168,LOGQ,rf0201,7.38749,7.32268,7.5675300000000005,7.250660000000001,7.71877,Y,Y,N,N,0.0,0.0,N,N,1,57
169,LOGZ,rf0201,-0.51648,-0.58241,-0.35166,-0.6483399999999999,-0.20002999999999999,Y,Y,N,N,0.0,0.0,N,N,1,119
170,LOGQ,rf0204,7.4235,7.358689999999999,7.5819399999999995,7.28667,7.71157,Y,Y,N,N,0.0,0.0,N,N,1,62
171,LOGZ,rf0204,-0.47033,-0.54285,-0.33848,-0.61537,-0.21320999999999998,Y,Y,N,N,0.0,0.0,N,N,1,126
172,LOGQ,rf0205,7.18585,7.04902,7.358689999999999,6.9842,7.54593,Y,Y,N,N,0.03329,0.0,N,N,2,29
173,LOGZ,rf0205,0.09665,-0.1341,0.13621,-0.30551,0.20873000000000003,Y,Y,N,N,0.0,0.00016999999999999999,N,N,1,212
174,LOGQ,rf0206,7.365889999999999,7.17144,7.53873,7.041810000000001,7.682760000000001,Y,Y,N,N,0.00271,0.0,N,N,1,54
175,LOGZ,rf0206,0.030719999999999997,-0.15388,0.09665,-0.25936,0.16917000000000001,Y,Y,N,N,0.0,0.0,N,N,1,202
176,LOGQ,rf0207,7.27947,7.20745,7.4379100000000005,7.135439999999999,7.61795,Y,Y,N,N,0.0,0.0,N,N,1,42
177,LOGZ,rf0207,-0.44396,-0.51648,-0.28573000000000004,-0.589,-0.1275,Y,Y,N,N,0.0,0.0,N,N,1,130
178,LOGQ,rf0209,7.5891399999999996,7.27227,7.7763800000000005,7.05622,7.9492199999999995,Y,Y,N,N,0.00365,0.0,N,N,1,85
179,LOGZ,rf0209,0.29444000000000004,0.17577,0.29444000000000004,-0.00224,inf,Y,Y,N,Y,0.0,0.17469,N,N,1,242
180,LOGQ,rf0210,7.149839999999999,7.07782,7.365889999999999,6.9986,7.5675300000000005,Y,Y,N,N,0.011340000000000001,0.0,N,N,1,24
181,LOGZ,rf0210,-0.38463,-0.44396,-0.20661999999999997,-0.52307,-0.048389999999999996,Y,Y,N,N,0.0,0.0,N,N,1,139
182,LOGQ,rf0216,6.977,7.034610000000001,7.4019,6.9842,7.63955,N,N,Y,N,0.042539999999999994,0.0,N,N,1,0
183,LOGZ,rf0216,0.12962,-0.14069,0.21531999999999998,-0.33848,0.28125,Y,Y,N,N,0.0,0.011940000000000001,N,N,3,217
184,LOGQ,rf0217,7.8412,7.55313,7.95642,7.06342,8.09326,Y,Y,N,N,0.00427,0.0,N,N,3,120
185,LOGZ,rf0217,0.19554000000000002,0.03732,0.22191999999999998,-0.38463,0.24829,Y,Y,N,N,0.0,1e-05,N,N,3,227
186,LOGQ,rf0223,6.977,7.01301,7.21465,-inf,7.351489999999999,N,Y,Y,N,0.06314,0.0,N,N,1,0
187,LOGZ,rf0223,0.07028,-0.14728,0.10984000000000001,-0.30551,0.15599000000000002,Y,Y,N,N,0.0,0.0,N,N,1,208
188,LOGQ,rf0226,6.977,6.9986,7.26507,-inf,7.5819399999999995,N,Y,Y,N,0.10017000000000001,0.0,N,N,1,0
189,LOGZ,rf0226,-0.37144,-0.44396,-0.09454,-0.51648,0.15599000000000002,Y,Y,N,N,0.0,2e-05,N,N,2,141
